iter	Passed	Remaining
843	25071	1663
844	25100	1633
845	25169	1606
846	25200	1576
847	25229	1547
848	25257	1517
849	25287	1487
850	25316	1457
851	25345	1427
852	25373	1398
853	25401	1368
854	25430	1338
855	25460	1308
856	25490	1279
857	25520	1249
858	25548	1219
859	25577	1189
860	25605	1159
861	25633	1130
862	25662	1100
863	25691	1070
864	25720	1040
865	25749	1010
866	25789	981
867	25843	952
868	25873	922
869	25902	893
870	25931	863
871	25962	833
872	25992	803
873	26021	774
874	26050	744
875	26078	714
876	26106	684
877	26135	654
878	26163	625
879	26192	595
880	26221	565
881	26251	535
882	26281	505
883	26309	476
884	26339	446
885	26368	416
886	26397	386
887	26426	357
888	26454	327
889	26483	297
890	26513	267
891	26543	238
892	26573	208
893	26603	178
894	26632	148
895	26660	119
896	26688	89
897	26717	59
898	26745	29
899	26775	0
